"","SRR11862834","SRR11862836","SRR11862838","SRR11862840","SRR11862842","SRR11862846","SRR11862848","SRR11862850","SRR11862852","SRR11862856"
"ZNF415"," 3"," 4"," 6","16","14","18","17","20","27"," 9"
"CYP4F11"," 2"," 8"," 1"," 2"," 6"," 4","52"," 2"," 9"," 1"
"LMTK3","29","21"," 4"," 4"," 9","21","15","43","33","69"
"MIER2","20","27","12"," 8","24","19","19","34","29","18"
"ZNF266"," 8","19","16"," 8","32","10"," 9","11","18","10"
"SMARCA4","60","48","16"," 8","26","25","27","66","59","56"
"SCGB2B2","0","1","1","0","4","0","2","0","2","1"
"ZNF738"," 9","22"," 8"," 8"," 6"," 7","14","25","10"," 9"
"SLC1A6","0","0","0","0","0","0","0","1","0","5"
"ZSCAN5A","0","3","1","1","5","1","3","3","4","2"
"KCTD15"," 8","41"," 4"," 7","10","10","29","19","21","12"
"ZNF439","0","3","1","1","3","1","1","3","3","2"
"ZFP30","5","6","4","1","4","6","8","3","7","3"
"ZNF841"," 55"," 82"," 40"," 96","147"," 49"," 86"," 92","110"," 50"
"ZNF534","0","1","0","0","3","1","1","1","2","2"
"TNPO2","17","33","15"," 8","32","21","13","16","34","24"
"GATAD2A","71","61","23","10","22","51","68","82","63","46"
"ZNF761","1","2","3","2","3","2","4","2","2","2"
"ZNF383","0","4","3","3","7","2","4","4","6","1"
"ZNF551"," 5","11"," 4"," 3","17"," 3"," 5"," 2"," 4"," 1"
"ZNF154"," 1","28"," 2","13","18","15","21"," 8","53","24"
"ZNF671","29","29","11","14","27","29","16","15","34","15"
"ZNF347"," 1"," 4"," 6"," 2"," 4"," 5","10"," 4"," 6"," 2"
"ZNF665"," 0"," 2"," 4","13"," 8"," 4"," 8"," 6"," 8"," 3"
"NDUFV2P1","3","7","9","2","2","5","6","7","5","4"
"ZNF677","0","8","0","3","3","4","5","3","3","1"
"VN1R2","0","3","0","0","2","0","2","0","0","1"
"ZNF160","10","32","17","29","57","20","22","11","33"," 8"
"ZNF224"," 6"," 5"," 3"," 6","16"," 4"," 3"," 9","12"," 5"
"ZNF225","1","4","4","1","4","3","2","1","1","1"
"ZNF234"," 6"," 9"," 5","18","17"," 9","10"," 7"," 8"," 6"
"ZNF226","8","6","5","1","5","6","9","4","4","3"
"ZNF227","36","27","18","15","19","37","40","78","45","26"
"ZNF233","0","2","1","0","0","2","2","0","0","0"
"KLK14"," 0","12"," 4"," 9","42"," 3","22","18","14"," 9"
"CTU1","0","2","2","0","2","2","1","3","2","1"
"SIGLEC9","26"," 5","79"," 1","15","15","44","24","12","16"
"SIGLEC7","2","0","2","0","1","1","1","1","1","0"
"CD33","2","1","7","0","1","1","6","1","2","2"
"IGLON5"," 7"," 1"," 0"," 0"," 0"," 1","22","21"," 0","19"
"VSIG10L","2","2","2","0","1","1","2","0","1","1"
"CLDND2","0","5","0","2","0","1","0","0","2","2"
"NKG7"," 5"," 6"," 6"," 6"," 7"," 2","27","15","11","23"
"SIGLEC10","1","1","1","0","0","1","2","3","0","2"
"LILRB3"," 1"," 0","15"," 1"," 5"," 1","10"," 2"," 3"," 4"
"LILRA5"," 0"," 0","10"," 1"," 2"," 0"," 2"," 0"," 0"," 1"
