"","SRR11862835","SRR11862837","SRR11862839","SRR11862841","SRR11862845","SRR11862847","SRR11862849","SRR11862851","SRR11862855","SRR11862857"
"ALAS1","25","31","33","20","32","26","48","42","32","32"
"TWF2"," 63"," 43"," 50"," 24"," 80","127","178","161","162","257"
"PPM1M","0","0","0","0","0","1","2","1","1","1"
"WDR82"," 54","113","125"," 60"," 48"," 83","103","110"," 86"," 75"
"GLYCTK","1","1","1","1","3","2","7","5","9","3"
"PPP2R5CP"," 3"," 2","15"," 1"," 2"," 3"," 0"," 6"," 1"," 3"
"BAP1"," 23"," 88"," 85","  6"," 22"," 61","232","172","110","147"
"RPS20P14","12","55","33","74","37","21","13","22","56","18"
"RPL39L","13","15","25","15"," 8","19","13","20"," 1"," 6"
"ST6GAL1","19","26","27","38","20","43","11","24","11","17"
"KLF15","21","11"," 8"," 1","11","18","34","19","20","20"
"ZXDC"," 7"," 8"," 6"," 4"," 9","10","12","11","23","10"
"UROC1","0","0","1","0","0","1","0","0","5","0"
"PAK2","64","77","58","78","61","67","36","43","42","46"
"CEP19"," 6","16","17"," 3"," 3","11"," 8"," 9"," 4"," 7"
"CADM2"," 1"," 5","11"," 0"," 2"," 1"," 8"," 6"," 2","25"
"COPB2"," 6","11","20","18"," 7","17","10"," 9","14"," 8"
"QRICH1"," 8","17","11"," 6"," 5","16","21","23","34","27"
"QARS1","51","58","43","74","83","57","58","47","65","48"
"LAMB2"," 7","10"," 6"," 6","30","47","23","19","44","16"
"LAMB2P1"," 7"," 4"," 7"," 2"," 6","10","19","13","25","11"
"CCDC71","10","10"," 7"," 3","18","15","13","14","58","11"
"KLHDC8B"," 5","11","10"," 3","14","21","29","15","36","21"
