"","SRR11365252","SRR11365253","SRR11365254","SRR11365255","SRR11365256","SRR11365258","SRR11365259","SRR11365260","SRR11365261","SRR11365262","SRR11365263","SRR11365264","SRR11365265","SRR11365266"
"SUGP2","127","117","107","122","121"," 98","107","114","101","109","108","136","106","106"
"BNIP3P16","0","1","0","0","0","1","1","1","2","1","1","0","0","1"
"BNIP3P8","3","3","0","6","3","0","4","2","1","2","1","4","4","3"
"RPL34P33","1","0","1","1","3","1","0","0","0","1","0","0","0","0"
"PCGF7P","1","1","1","2","1","1","2","1","2","2","2","0","1","1"
"CDC42EP3P1","2","1","2","6","5","4","4","5","6","4","3","7","8","7"
"RPL7AP10"," 3"," 1"," 4"," 5"," 4"," 5","12"," 5"," 1"," 4"," 4"," 3"," 6"," 9"
"MTDHP4","0","1","1","0","1","0","1","1","3","4","0","0","0","0"
"ZNF431"," 6"," 7"," 6","10"," 8"," 5"," 6"," 5"," 7"," 7"," 7"," 7"," 9"," 8"
"BNIP3P30","0","1","0","0","2","2","1","0","1","2","3","1","2","3"
"ERVK-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BNIP3P33"," 4"," 3"," 1"," 8"," 1"," 2"," 8"," 6"," 6"," 1"," 7"," 1"," 9","10"
"BNIP3P20","0","1","0","1","1","1","1","0","0","0","0","0","0","3"
"BNIP3P29","0","1","1","1","0","1","1","1","1","1","0","1","1","1"
"ZNF98"," 5"," 6"," 3"," 7"," 4"," 4","10"," 5"," 5"," 4"," 4"," 3"," 7"," 8"
"ZNF708","35","37","34","46","44","28","27","28","37","53","52","33","39","36"
"BNIP3P22","2","1","1","2","3","1","1","0","0","2","3","1","3","3"
"MTDHP5","0","1","0","1","2","1","0","0","0","2","3","0","1","2"
"BNIP3P40"," 4"," 4"," 4","13"," 7"," 3"," 7"," 4"," 7","11","14"," 3","10"," 7"
"VN1R85P","3","3","1","1","2","1","1","2","0","2","1","1","2","4"
"BNIP3P38","0","2","0","1","0","0","1","4","0","1","0","0","2","1"
"ZNF730","1","1","1","3","2","1","1","1","1","2","3","1","2","2"
"IPO5P1","17","11","10","16","14"," 9","13","16"," 9","11"," 9","13","16","18"
"ZNF506","15","20","13","25","21","13","14","13","14","19","15","14","22","20"
"RPL34P34","2","1","1","1","3","3","3","2","1","1","2","1","2","1"
"DPY19L3-DT","2","1","2","2","2","2","3","2","2","3","3","0","3","3"
"MTDHP3","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"UQCRFS1-DT","2","0","2","2","1","1","3","2","2","1","3","2","3","2"
"ZNF725P","1","2","1","1","7","1","1","2","2","4","1","2","4","2"
"ZNF728","4","4","3","5","6","6","4","5","3","6","7","4","8","6"
"VN1R83P","19","23","17","28","28","22","17","15","24","33","28","21","16","28"
"LINC01532","1","0","0","1","1","1","1","1","1","1","1","0","1","2"
"BNIP3P37","0","0","0","0","0","0","0","0","2","0","0","0","1","0"
"BRI3BPP1","0","0","0","1","2","2","0","2","1","0","1","1","0","2"
"TSHZ3","26","14","18","24","10","10","10","10","12","11","12","19","18","16"
"SLC27A1","15","10","10","16","10","14","15","18","15","10","21","14","17","16"
"PDCD2L","11","11"," 9"," 8","10"," 7"," 5"," 6"," 7","10"," 7","10"," 4"," 6"
"CHST8"," 5"," 8"," 9"," 5"," 5","10"," 7"," 9"," 9"," 7"," 8"," 8"," 6"," 4"
"DMKN","3","2","2","4","3","2","2","4","2","2","4","4","5","5"
"ZNF536","22","16","18","13","11","21","13","13","13","12","22","18","11","11"
"ZNF790","16","14","14","11","22","12","13","12","14","19","17","15","18","16"
"TAF9P3","13","23"," 7","17"," 7"," 5","12","19","13","15"," 3","13","10"," 3"
"EEF1A1P7","1","1","0","1","1","0","1","1","1","0","1","1","1","0"
"RPS29P30","0","0","0","0","0","0","0","0","0","3","0","0","4","3"
"WTIP","3","2","2","3","3","2","2","4","3","2","3","2","2","2"
"RINL","5","3","4","4","3","4","3","5","4","3","3","4","4","2"
"GPATCH1","16","13","14","17","11","11","11","12","12","12","14","14","11","14"
"ZNF565","11","10","10","13"," 9"," 9"," 9","11"," 8","10","12","11"," 9"," 8"
"TMEM143","6","3","4","5","4","5","5","6","5","5","5","7","5","5"
"VN1R107P"," 7","19","10","14","20"," 7","12","14","10","12","20","12","21","16"
"SLC27A5","4","4","4","4","5","4","4","5","4","5","6","6","4","6"
"ZNF737","20","24","21","28","20","13","15","15","18","17","16","17","23","20"
"TSHZ3-AS1"," 7"," 8"," 7","20","10"," 8","14"," 8","13","13","12","15","12","12"
"ZNF850","2","3","3","2","2","1","1","2","2","2","2","2","2","2"
"ZBTB45"," 9"," 7","11","12"," 8"," 8","11","14","11"," 8"," 9","11","10"," 7"
"ZNF155","4","4","4","9","5","4","6","4","4","5","5","4","4","5"
"NFKBIB","13","10","17","12","10","10","10","11","16","13","12","15","12","11"
"ZNF283","13","13","12","18","16"," 9","12","12","12","13","14","12","14","15"
"PVR","25","21","27","22","17","17","19","18","22","16","25","23","19","17"
"ZNF404","13","17","15","19","21","10","16","14","15","18","13","14","17","20"
"ZNF230-DT","1","1","1","0","0","0","1","0","1","0","0","1","0","1"
"SNX6P1","0","0","0","1","0","1","0","0","0","0","1","0","0","1"
"ERVK9-11","2","2","1","2","3","2","2","2","2","1","1","1","4","3"
"URI1","52","51","49","47","41","36","38","40","43","39","38","42","33","34"
"ZNF230","4","5","4","4","3","4","3","3","3","3","2","4","3","3"
"RPL29P33","0","3","2","3","0","3","1","3","1","2","4","0","1","0"
"ZNF222-DT","0","1","1","0","0","0","0","0","1","0","0","0","0","1"
"ZNF45","16","11","13","14","12"," 9","11","12","10","11","13","13","12","11"
"ZNF428","72","48","55","49","35","44","39","48","53","51","54","80","50","40"
"ZNF222","12","10"," 9"," 8","10"," 7"," 7"," 7"," 9"," 9"," 6"," 8"," 7","10"
"RHPN2","10"," 2"," 3"," 9"," 8"," 4"," 8"," 4"," 8"," 9"," 8"," 5","10"," 9"
"EGLN2"," 8"," 7"," 5","10"," 7"," 8"," 9"," 9"," 8"," 6","11","10"," 9"," 8"
"CADM4","166","112","133","114"," 85","148","132","107","128","115","143","152","106"," 91"
"SIPA1L3","16","12","14","15","15","15","17","24","14","16","19","18","19","17"
"CYP2T1P","5","4","4","7","4","5","5","7","4","4","9","7","6","4"
"ZNF507","24","22","22","30","21","15","21","22","20","18","20","23","21","20"
"PLAUR","1","1","1","1","3","2","1","2","2","4","3","1","2","2"
"CYP2F2P","2","3","1","6","3","2","4","7","2","2","9","4","3","4"
"SLC25A1P5","0","1","1","2","0","0","2","1","1","2","1","2","3","3"
"DPY19L3","20","14","13","25","21","10","15","16","15","18","20","12","17","16"
"NLRP4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A1BG","1","1","1","1","1","1","1","2","2","2","1","1","1","2"
"SMG9","15","12","11","12","14","12","12","13","10","14","13","16","13","12"
"CYP2A6"," 4"," 3"," 3","10"," 4"," 5"," 6"," 7"," 3"," 3"," 8"," 5"," 6"," 6"
"MZF1","15","15","10","19","13","12","14","18","12","13","16","15","17","16"
"ECH1","32","21","31","27","30","35","24","25","27","27","31","29","25","23"
"BCL3","2","1","1","3","3","2","1","2","2","3","3","2","2","2"
"BLOC1S3","8","4","6","6","6","8","8","8","5","7","8","7","5","4"
"ZNF497","4","3","4","5","2","3","3","4","3","3","5","4","3","4"
"CYP2G1P","2","2","2","5","3","2","3","2","1","2","3","3","2","3"
"RPL31P61"," 2"," 2"," 3"," 4"," 5"," 2"," 2","10"," 2"," 5"," 8"," 3"," 9","15"
"CYP2A7P2","0","2","2","3","2","2","1","2","0","3","5","2","2","3"
"ZNF749","11","13","11","13","10","10","11","12","10","10","12","15","16","14"
"LINC02560","1","4","3","2","2","2","1","1","3","3","3","1","2","4"
"COX7A1","200","172"," 80"," 73"," 92"," 90"," 86"," 47"," 77","102"," 65"," 91"," 66"," 60"
"ZNF837","3","1","2","2","2","2","2","3","2","2","2","3","1","1"
"ZNF614","15","13","13","15","11"," 8","11","10"," 9","11","10"," 9","10","10"
"ZNF584","18","12","15","13","11","13","15","13","13","12","12","17"," 9"," 8"
"CENPBD2P","20","14","15","13"," 9","11","14","13","11","11"," 8","13","10"," 9"
"ZNF432","11","10"," 9","13","11"," 7"," 9","10"," 8","12","13","12","11","12"
"ZNF584-DT","10"," 6"," 9"," 8"," 8"," 8"," 8"," 9"," 9"," 8"," 9","10","11"," 9"
"C5AR2","1","0","1","1","1","1","1","1","0","1","2","1","1","0"
"GPI","190","129","176","127","109","153","137","133","121","109","123","153","102"," 98"
"CKM","0","1","1","0","0","0","0","2","1","1","1","1","1","1"
"RPS5","56","50","49","40","46","49","46","40","46","50","46","48","36","34"
"ZNF132-DT","1","1","1","1","0","1","1","1","1","1","1","2","1","1"
"UBA2","87","93","82","76","58","52","55","45","60","56","47","63","51","40"
"ZNF420","23","22","19","22","16","13","17","13","16","15","11","14","15","14"
"ZNF324B","11"," 8","10","10"," 7"," 8","10","10"," 6"," 5"," 9","10"," 7"," 9"
"ZNF616","10","10","10","10"," 9"," 8"," 6"," 9"," 8"," 8"," 9"," 8"," 9","10"
"ZNF471","18","18","16","22","28","14","19","19","21","25","26","22","28","28"
"PSG10P","1","2","1","4","2","2","2","2","1","4","3","4","2","1"
"ZFP28-DT","1","2","1","0","0","0","1","1","1","2","1","1","1","1"
"RPL37P23","11","11","14","10","20"," 7"," 4","12"," 8","20","12","10"," 6","13"
"LYPD5","15"," 9","14","16","13","10","11","14","13","11"," 9","13","10","10"
"ZFP28","19","18","19","18","16","15","14","15","14","16","14","18","14","15"
"KRTDAP","0","0","0","1","1","0","0","2","1","0","1","0","4","1"
"CEACAMP9","1","0","1","0","0","1","0","1","0","1","1","1","0","1"
"ZNF470","19","17","17","16","12","11","13","12","12","10","10","14","11"," 9"
"ZNF586","10","14","10","19","19","10","14","18","13","15","18","18","23","22"
"SIGLEC31P","0","0","0","0","1","0","1","1","1","2","1","1","0","1"
"GAPDHS","1","0","0","2","3","0","0","1","1","2","2","1","1","1"
"ZNF235"," 7"," 8"," 6"," 8","11"," 7"," 9"," 9"," 8"," 9","10"," 9"," 9"," 9"
"BCAM","10"," 6"," 6"," 6"," 5"," 5"," 6","14"," 8"," 7"," 9"," 7"," 8"," 7"
"PSG5","1","1","0","2","1","1","1","1","0","1","1","1","1","1"
"ZNF274","6","5","4","5","6","5","4","7","4","6","8","5","7","5"
"CCNE1","10"," 6"," 6"," 6"," 4"," 7"," 5"," 7"," 6"," 5"," 5"," 8"," 3"," 4"
"PPP2R1A","158","102","137"," 96"," 75","132","104"," 91"," 94"," 93"," 89","132"," 73"," 72"
"CEACAMP5"," 3"," 1"," 3","11"," 4"," 5"," 4"," 4"," 4"," 3"," 9"," 5"," 7"," 3"
"FBXO17"," 8"," 2"," 5"," 6"," 6"," 4"," 5"," 7"," 4"," 6"," 7"," 6"," 5","10"
"CATSPERG","1","1","1","2","1","1","1","2","1","2","2","2","1","2"
"NDUFA3P1"," 1"," 9"," 2"," 3","16"," 2"," 1","11","10","13","14","14","26"," 3"
"RPS10P28"," 1"," 2"," 0"," 5"," 4"," 4"," 5"," 4"," 4"," 4","10"," 3"," 5"," 3"
"ZNF766","8","8","7","8","9","7","7","8","7","7","9","8","7","9"
"ZNF264","23","21","22","23","18","17","19","22","18","18","20","18","21","19"
"PSG3","0","0","0","2","1","2","1","1","1","2","3","1","2","2"
"ZNF480"," 7"," 6"," 8","10"," 7"," 5"," 6"," 6"," 6"," 8"," 8"," 6"," 9"," 6"
"FBXO27","24","17","26","20","13","18","19","19","15","17","16","22","17","21"
"RPL9P32"," 5"," 7"," 3"," 7"," 8"," 8"," 8"," 7"," 9"," 7","12"," 7"," 9"," 8"
"CEACAMP4","0","0","0","6","1","0","0","0","0","0","4","0","0","1"
"PSG8","0","0","0","1","1","1","1","0","0","1","2","1","0","1"
"CEP89"," 7"," 7"," 7","10"," 8"," 5"," 7"," 9"," 7"," 8","10"," 9","10"," 9"
"SMIM17","37","45","27","37","32","23","27","17","22","24","13","26","25","24"
"PPFIA3","68","53","65","61","36","51","54","51","49","41","46","66","54","51"
"CEACAMP6","0","1","1","1","1","2","1","1","2","1","1","3","0","1"
"ZNF835","12"," 8","10"," 9"," 6"," 7"," 8"," 7"," 6"," 5"," 8"," 9"," 8"," 8"
"ZNF805","15","13","11","16","13","10","12","12","10","11","11","11","11","11"
"ZNF610","10"," 9"," 9","12","12"," 7"," 9","11"," 8","10"," 9"," 7"," 8","10"
"HRC","2","2","1","1","1","2","1","4","2","1","3","2","1","1"
"CD177","0","0","0","0","1","1","0","4","1","1","3","1","1","0"
"RAB4B","1","0","1","1","1","1","1","2","1","1","3","2","2","2"
"PPP6R1","60","40","52","54","35","43","47","59","40","36","43","52","49","47"
"ZNF460-AS1","6","5","2","7","5","3","5","4","5","7","9","7","5","4"
"ZNF880","29","25","27","30","32","21","23","32","20","31","23","24","21","21"
"TMEM147","38","31","27","23","25","31","24","24","23","24","20","21","18","18"
"ATP4A","1","2","1","3","1","0","1","2","1","2","1","1","2","2"
"STRN4","32","28","30","27","19","24","25","24","23","22","25","32","27","22"
"ZNF460","101"," 90"," 79","101","105"," 82"," 80"," 89"," 71"," 93"," 93"," 88"," 80"," 72"
"PSG7","0","1","1","2","1","1","1","1","1","1","1","1","1","1"
"HSPBP1","58","43","53","46","26","44","42","36","41","34","35","49","35","34"
"CEACAMP7","1","1","0","2","6","1","1","2","0","1","2","2","2","2"
"TRPM4","5","3","5","6","4","6","5","7","4","4","7","5","4","4"
"SLC6A21P","2","0","1","2","3","0","2","1","1","2","1","1","2","3"
"ZNF8-ERVK3-1","1","1","1","3","2","2","1","2","2","2","3","2","2","2"
"FOSB","4","6","4","4","5","4","2","4","4","4","5","4","5","4"
"ZNF543","25","22","21","25","23","19","18","24","18","22","19","26","23","20"
"SUMO1P4","14","10","18","15"," 8"," 6","10"," 8","21","14","13","28","13"," 9"
"ZNF229","6","6","5","6","6","4","6","3","5","6","5","6","6","6"
"ZNF528","17","17","13","28","23","17","15","22","17","20","24","19","25","25"
"ZNF285BP","3","1","2","4","1","1","2","2","1","3","0","3","3","2"
"UQCRFS1","93","83","94","57","45","72","63","45","64","49","36","67","32","31"
"DPPA5P1"," 2"," 0"," 0"," 6"," 1"," 7"," 8","10"," 2"," 6","10"," 8"," 6"," 3"
"PSG11","0","0","0","2","1","0","1","0","0","1","1","1","1","0"
"SLC6A16","1","1","1","3","2","2","1","3","2","2","4","2","4","4"
"CEACAMP8","0","0","0","1","1","4","1","1","0","1","2","1","1","0"
"FKRP","15","14","13","13","10","14","14","15","14","12","14","15","15","10"
"PSG2","0","0","0","1","1","0","1","1","0","1","1","1","0","0"
"BRSK1","203","168","181","174","117","162","171","165","152","124","167","192","141","151"
"EPS8L1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"TRAPPC2B","11","10","10"," 7"," 7"," 8"," 7"," 7"," 8"," 6"," 6","10"," 6"," 6"
"ZNF578","3","2","1","3","2","2","1","2","1","1","2","2","1","2"
"C5AR1","1","1","2","2","3","2","1","2","1","4","7","2","2","2"
"SLC1A5","1","1","1","1","3","1","0","2","1","3","2","1","1","1"
"PPP1R12C","45","39","37","44","28","35","40","48","33","29","42","45","41","40"
"RASGRP4","2","1","1","2","5","2","2","4","2","5","4","3","3","3"
"CD37","2","2","2","3","4","3","2","4","3","5","5","2","4","4"
"BORCS8","9","9","9","6","4","8","6","7","6","5","7","9","6","7"
"ZSCAN22","6","4","5","5","6","6","5","6","5","7","8","7","8","7"
"ZNF548","15","14","11","17","13","11","11","14","12","12","15","12","15","12"
"CD22"," 5"," 4"," 4"," 5"," 7","12"," 5"," 6"," 6","13","23","13"," 4"," 4"
"GYS1","22","13","20","22","20","20","22","27","18","19","33","25","29","27"
"DNAAF3-AS1","4","3","4","5","4","2","4","2","5","3","6","6","4","4"
"SYT5","61","42","63","59","28","42","47","41","48","33","43","60","35","37"
"PPP1R37","26","19","26","23","17","22","22","22","22","20","21","24","20","20"
"ZNF599","3","2","1","3","2","2","2","2","1","1","2","2","2","2"
"PTPRH","2","2","2","1","1","4","3","1","2","2","8","2","1","1"
"MAN1A2P1","2","1","2","2","1","1","2","2","2","2","2","2","1","3"
"VN1R87P","0","0","0","0","0","0","0","1","0","0","1","0","0","1"
"POP4","19","18","15","13","13","14","11","11","13","13","12","12"," 8","10"
"ZNF181","19","14","14","17","15","11","14","13","13","11","11","11","12","11"
"SLC25A42","18","18","19","12","14","16","17","18","13","13","13","16","16","12"
"ZNF807P","1","1","1","1","1","1","1","1","2","1","1","1","0","0"
"TMEM86B","2","2","2","3","2","1","2","2","2","1","3","3","2","2"
"RNU6-2"," 0","17"," 0"," 4"," 0"," 3"," 0","23"," 3"," 6","14"," 0","11","10"
"MIR7850"," 7"," 0"," 8"," 5"," 0"," 8"," 4","10"," 7"," 8","10"," 5"," 0"," 9"
"RN7SL146P","0","1","1","6","0","1","1","1","1","2","3","4","1","6"
"MIR640","3","4","0","4","7","6","0","4","6","0","4","0","0","8"
"RNU6-1028P","15","15"," 3","18","10","10"," 7"," 9","21"," 4"," 4"," 4","13"," 8"
"MIR1270"," 3"," 0"," 7","15"," 0"," 0"," 0"," 0"," 7"," 0"," 9"," 0"," 0"," 0"
"RNA5SP469","3","7","3","4","0","3","0","4","0","3","0","0","0","0"
"RNU6-967P","3","0","3","0","0","0","3","0","5","0","0","0","0","0"
"RN7SL154P","0","1","0","1","1","0","1","0","1","1","4","1","0","0"
"RN7SL368P","0","0","0","0","1","0","0","1","2","1","0","3","4","0"
"MIR6088","0","0","0","0","0","6","0","0","6","0","0","0","0","0"
"MIR4531"," 6"," 8"," 0"," 0"," 0"," 0"," 7"," 9"," 6"," 0"," 0"," 9","17"," 0"
"MIR4324","0","0","0","0","0","0","4","6","0","5","0","0","0","0"
"MIR643"," 0"," 0"," 6"," 9","16"," 6"," 0"," 8"," 0"," 3"," 0"," 4"," 0","12"
"MIR6801"," 0"," 0"," 0"," 0"," 8"," 0","12"," 0"," 4"," 4","20"," 5"," 0"," 9"
"MIR6804","0","0","0","0","0","0","0","6","0","0","6","0","0","0"
"MIR6802","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MIR4754","3","4","0","0","0","3","0","0","0","0","4","0","0","4"
"MIR6803","4","0","0","0","0","5","0","0","0","0","0","0","0","0"
"RNU6-1337P","15"," 0"," 3"," 4"," 7"," 3","10"," 0"," 0","10"," 4"," 8"," 4","16"
"RN7SL693P","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"MIR6806","0","0","0","7","5","0","5","0","4","0","0","0","0","0"
"ACP7","1","0","1","1","0","2","1","1","1","1","2","1","1","0"
"IFNL4P1","0","1","1","1","1","1","1","1","0","0","2","3","1","1"
"IFNL1","0","1","0","2","0","0","0","1","2","0","2","2","2","2"
"GMFG","6","5","4","4","6","5","5","5","5","8","9","5","3","6"
"RN7SL566P"," 4"," 5"," 5"," 7"," 8"," 4"," 8"," 7"," 4"," 8","12"," 7"," 4"," 8"
"PAF1","50","32","50","34","29","33","29","34","35","35","42","42","32","31"
"MED29","63","39","55","59","33","43","48","43","45","45","62","52","44","46"
"ZFP36"," 4","11"," 5"," 3","72"," 8"," 5","22","13","62","67","10","12","14"
"MIR4530","0","6","0","0","0","0","0","0","0","0","7","0","0","0"
"PLEKHG2","2","1","2","1","2","2","1","3","2","2","4","2","2","2"
"RPS16","16","11","20","21","25","20","20","28","32","48","46","26","26","30"
"SUPT5H","64","42","59","46","43","47","48","46","42","44","49","50","39","39"
"TIMM50","20","18","18","17","12","16","15","15","15","14","14","17","12","12"
"DLL3","5","3","4","4","2","4","2","4","3","2","2","5","2","2"
"EID2B","24","21","25","15","13","18","14","13","18","13","13","22","17","16"
"TDGF1P7","1","0","2","0","0","1","1","1","1","0","1","0","0","0"
"EID2","54","69","68","48","33","35","33","29","44","36","23","40","23","26"
"PNMA8A","380","270","348","242","191","251","219","209","236","198","167","268","172","175"
"PNMA8B"," 95"," 73","106"," 79"," 57"," 73"," 80"," 78"," 69"," 70"," 65"," 91"," 50"," 53"
"GAPDHP38","1","1","0","2","1","0","0","0","1","0","2","0","2","1"
"CALM3","807","590","869","594","465","590","609","610","648","509","529","766","489","488"
"PTGIR","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"DACT3","43","29","43","33","18","27","30","32","32","29","26","36","24","22"
"RN7SL364P","2","0","0","0","0","2","1","1","0","0","1","4","4","1"
"MIR320E"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0"," 7","23","15"," 0"
"LRFN1","21","14","21","26","15","16","15","23","21","17","14","21","20","18"
"DENND1C","2","1","2","1","1","1","1","1","1","2","1","1","1","2"
"TUBB4A","354","217","489","309","226","419","345","319","371","299","381","494","302","292"
"TNFSF9","7","4","6","4","5","5","3","4","3","5","2","5","3","2"
"CLIC4P2","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"CD70","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TRIP10","3","2","2","1","6","2","2","4","3","6","4","3","2","3"
"TNFSF14","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SYMPK","29","21","22","27","27","28","26","32","25","26","34","32","27","26"
"FOXA3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IRF2BP1","48","36","50","35","28","34","28","42","36","29","26","39","26","29"
"MYPOP","33","25","36","27","18","24","24","28","25","25","21","33","29","24"
"CCDC61","14","16"," 9","20","11","11","14","17","14","12","19","21","19","19"
"MIR769"," 7","21"," 3"," 7"," 3"," 5","21"," 3"," 5"," 8"," 3","14","10"," 9"
"PGLYRP1"," 8","12"," 9","18","14","10","16","13","16","13","16","15","10","24"
"IGFL3","4","3","3","6","6","4","5","5","3","6","5","5","4","4"
"TGIF1P1","1","1","2","3","6","2","5","2","4","4","4","3","6","5"
"DM1-AS","2","1","2","2","2","0","1","1","1","2","3","1","3","1"
"DMWD","34","27","31","34","23","27","30","36","29","23","32","36","27","27"
"ZNF426","17","16","14","18","15","13","14","15","14","16","17","15","13","13"
"ZNF561","12","11","10","10","12"," 8"," 9","10"," 9","11","10"," 9","10"," 9"
"ZNF562","7","7","6","7","6","5","6","5","6","6","7","7","7","5"
"RPS4XP22","0","0","1","0","1","0","0","1","1","0","4","1","4","2"
"UBE2L4"," 6"," 6"," 2"," 3"," 5"," 5"," 4"," 3"," 6"," 6"," 7"," 9","13"," 5"
"FBXL12"," 7"," 7"," 7","10"," 7"," 8"," 9"," 9","10"," 6","13","10"," 8"," 9"
"RPL10P15","4","6","2","0","2","1","1","0","2","3","4","3","0","1"
"PIN1-DT","0","1","1","2","1","2","0","2","0","2","2","0","1","0"
"BICRA-AS1"," 7"," 3"," 3","16"," 6"," 9","10","12"," 8"," 8","18"," 8","13","13"
"EHD2","17"," 9","10","10","10"," 9"," 8","20","14","14","20","15","16","15"
"NOP53","24","17","18","17","21","17","13","25","20","23","30","25","17","20"
"NOP53-AS1"," 2"," 0"," 1"," 2"," 5"," 3"," 2","12"," 4","10"," 4"," 6"," 5"," 5"
"ZNF552"," 9"," 6"," 7","15","13"," 9","11","13"," 9","10","17","12","15","16"
"ZNF587B"," 8","10"," 6","15","11"," 7","11","14","10","12","16","17","18","16"
"FKBP1AP1"," 4"," 6"," 2"," 7","12"," 6"," 9"," 6"," 7"," 7","12","11","17","18"
"ZNF587","14","13","12","15","14","11","13","13","14","12","17","15","16","14"
"ZNF417","18","19","17","24","20","15","18","19","20","17","21","21","23","22"
"ZNF256","26","22","22","28","20","18","20","19","21","18","21","17","16","18"
"C19orf18","4","2","2","4","4","4","3","4","2","4","9","4","2","7"
"IL4I1","0","1","0","1","1","1","0","0","0","1","2","0","0","0"
"SIGLEC11","1","0","0","1","0","0","0","1","1","0","0","0","1","0"
"VRK3"," 9"," 7"," 9"," 9"," 7"," 8"," 7"," 9"," 8","10","11"," 9"," 7"," 8"
"ZNF473","10"," 7"," 7"," 7"," 7"," 7"," 6"," 9"," 5"," 7"," 8"," 8"," 7"," 8"
"SIGLEC16","1","1","1","1","2","1","1","2","2","2","2","1","2","1"
"ASPDH","24","16","14","12"," 7","18","14","25","17","10","16","25","21","17"
"LRRC4B","138","104","117","110"," 80"," 99","108","130","102"," 87","106","119","113"," 97"
"SYT3","33","21","27","21","18","26","24","24","22","19","18","28","24","23"
"C19orf81","2","1","3","2","2","1","2","2","2","3","2","4","4","4"
"ACP4","1","3","2","2","2","0","3","4","2","1","3","3","5","3"
"SNORD88A"," 3"," 0"," 0"," 5","10"," 3"," 0"," 9"," 9"," 0"," 0","13"," 0"," 0"
"LINC01869","1","0","0","1","1","1","0","0","0","0","1","1","1","1"
"ZFP14","22","28","20","22","18","15","17","15","17","15","16","20","18","15"
"ZFP82","12","11"," 9","11","10"," 7","10"," 8"," 9"," 8"," 9"," 9","10","10"
"ZNF566-AS1","8","3","4","3","3","3","5","2","4","4","4","5","3","2"
"CTBP2P7","1","1","0","1","0","0","1","1","0","1","0","2","0","1"
"ZNF260","26","23","22","25","25","18","18","18","17","21","16","16","23","19"
"ZNF529","23","22","21","25","18","15","18","15","17","16","17","19","18","16"
"RN7SL192P","0","2","1","1","6","6","6","9","2","2","4","4","5","4"
"LDLR","13"," 9","13","13","16","16","13","10","16","16","13","14"," 7"," 7"
"MIR6796"," 0"," 0"," 0"," 7","15","10"," 0","13","14"," 5"," 0"," 0"," 0","12"
"HIPK4","1","1","0","3","2","2","2","4","1","2","3","3","4","3"
"SERTAD1","6","4","4","2","5","4","3","3","3","5","4","5","3","4"
"SERTAD3","6","5","3","3","6","5","4","5","3","6","6","3","3","4"
"SERTAD3-AS1","0","0","1","0","0","0","0","2","0","1","1","0","0","1"
"PSG6","0","1","0","2","1","1","1","1","1","1","2","1","1","1"
"CLEC17A","0","1","1","0","0","1","0","0","1","1","0","0","0","0"
"TEAD2","3","2","1","1","3","1","1","2","2","4","4","1","2","2"
"DNAAF3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"JOSD2","16","15","15","10","10","16","11","16","16","12","18","19","12"," 8"
"ZNF724","2","2","1","3","2","1","2","1","2","3","3","1","2","2"
"ERCC1","22","22","18","20","17","21","18","21","18","18","21","24","19","18"
"PKN1","29","18","31","27","25","22","19","30","28","28","31","26","21","23"
"ZNF43","14"," 9"," 9","13"," 9"," 7"," 9"," 8","10"," 8","10"," 9"," 9"," 9"
"AP2S1","114","105","114"," 77"," 59"," 97"," 81"," 71"," 84"," 80"," 56"," 89"," 51"," 46"
"MED26","3","2","3","4","3","3","2","4","3","2","3","3","3","4"
"PIN1","85","90","83","69","57","75","63","61","66","55","50","74","57","52"
"XRCC1","23","13","19","17","15","16","14","19","17","16","20","21","15","15"
"KLF2"," 7","11"," 8"," 7"," 2"," 7"," 4","17"," 8"," 5","21"," 4"," 6"," 3"
"SARS2","7","6","5","7","4","5","6","5","3","4","6","6","6","4"
"WDR18","26","22","16","18","12","20","17","21","12","11","21","20","11","12"
"ZNF547"," 8"," 9"," 7"," 9","10"," 6"," 8"," 8"," 6"," 9"," 6"," 9"," 7"," 7"
"NR2C2AP"," 8"," 6"," 8"," 6"," 9"," 8"," 8"," 5"," 6","10"," 8"," 4"," 2"," 8"
"CARM1","27","20","31","27","25","27","25","29","26","27","25","29","27","23"
"PRX","4","2","2","3","3","2","1","5","3","3","6","2","3","4"
"IZUMO1","1","2","1","2","2","1","1","2","2","1","2","2","2","2"
"BCAT2"," 9"," 7"," 7"," 7"," 9"," 8"," 8","12"," 8"," 7","12","10","11","10"
"HSD17B14","20","16","18","10","14","13","19","22","16","18","25","24","19","26"
"PLEKHA4","2","1","1","1","2","1","1","1","1","3","3","1","1","1"
