"","SRR11365252","SRR11365253","SRR11365254","SRR11365255","SRR11365256","SRR11365258","SRR11365259","SRR11365260","SRR11365261","SRR11365262","SRR11365263","SRR11365264","SRR11365265","SRR11365266"
"PRCC","29","16","25","25","20","22","19","24","23","21","23","31","20","22"
"SH2D2A","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"MIR4421","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MIR6500","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LINC01562","0","1","1","1","0","1","0","2","1","1","1","1","1","0"
"RNF11","490","436","467","411","264","264","297","255","278","214","132","224","222","198"
"EPS15","228","217","222","182","119","152","138","115","160","124","115","164","115","108"
"RNU6-877P"," 5"," 0"," 3"," 8"," 0"," 3"," 3","15"," 0"," 6","18"," 4"," 8","10"
"LINC01409","2","3","3","6","4","2","3","4","3","4","4","4","5","4"
"FAM87B","2","1","1","6","1","1","2","3","4","2","3","2","3","3"
"C1orf159","6","5","5","6","6","5","7","6","6","5","7","7","7","7"
"TTC39A","4","3","3","4","5","5","5","5","4","4","3","5","3","3"
"RN7SL653P","2","0","2","4","3","0","3","3","0","0","3","0","8","1"
"SAMD11","0","1","0","1","1","1","0","1","1","1","1","0","1","0"
"MFSD14A","7","5","6","4","4","4","2","4","5","4","4","6","4","4"
"SASS6","4","6","4","8","7","3","4","6","5","6","4","4","5","6"
"LRRC39","14","15","13","16","15"," 8","11","13","11","11","13","15","17","14"
"DBT","26","22","23","25","18","17","19","20","20","16","15","18","18","18"
"RPL23AP90","1","2","0","7","3","0","3","2","1","3","2","2","5","5"
"BRI3P1","1","1","2","4","2","2","3","6","5","3","1","3","3","1"
"RTCA","57","62","53","54","37","39","35","33","39","33","28","39","28","24"
"MIR553","12","21"," 5","37","14","13"," 0","12"," 4","29","23","18","18","27"
"KHDRBS1","129","110","107"," 93"," 70"," 73"," 66"," 70"," 79"," 71"," 81"," 84"," 64"," 64"
"TMEM39B","16","13","12","15","11","11","10","13","14","10","12","17","15","12"
"MIR5585","19","12","16","14"," 5","26"," 0","27"," 5","11","26"," 0","27"," 0"
"KPNA6","101"," 72"," 91"," 67"," 60"," 70"," 69"," 62"," 57"," 54"," 50"," 70"," 49"," 48"
"CCDC28B","6","6","5","8","5","5","6","7","6","3","6","8","7","6"
"LINC01160","0","0","0","0","0","0","1","0","0","1","1","0","1","1"
"DDX20","10","11"," 8"," 9"," 8"," 6"," 8"," 7"," 7"," 8"," 5"," 6"," 6"," 7"
