"","SRR11365272","SRR11365273","SRR11365275","SRR11365277","SRR11365279","SRR11365282","SRR11365284","SRR11365285","SRR11365286","SRR11365287","SRR11365288","SRR11365289","SRR11365291","SRR11365293","SRR11365294","SRR11365296","SRR11365299","SRR11365300","SRR11365301"
"SLC25A6P3","1","2","2","1","0","1","1","1","1","1","1","1","0","2","1","0","0","0","0"
"DOCK7","40","50","41","42","48","33","34","67","34","25","30","17","35","19","26","39","27","33","39"
"NEXN-AS1","2","2","1","2","1","0","1","1","2","1","1","1","1","1","1","1","1","2","1"
"NEGR1"," 4"," 3"," 1"," 1"," 6"," 3"," 2"," 3"," 1"," 2"," 5","59","14","18"," 5"," 5"," 0","15"," 1"
"RPL36AP10","0","0","0","0","0","1","0","0","0","0","3","2","1","0","1","0","0","4","1"
"LINC01712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FAAH"," 4"," 3"," 7"," 3","11"," 3"," 7"," 4"," 9"," 9"," 3","29"," 6","26","30"," 6"," 7","14"," 5"
"KYAT3","39","48","39","32","31","33","51","35","41","43","51","29","32","25","29","30","43","35","86"
"SHISAL2A","1","1","1","1","2","3","1","1","1","1","2","1","1","1","2","0","1","3","1"
"DNTTIP2","27","26","24","25","26","34","25","33","34","26","26","25","17","22","21","34","36","23","42"
"PTPRF","30","44","80","46","71","78","70","49","36","36","49","91","60","54","78","51","41","47","51"
"DHCR24"," 8","27","12","10","33","20","61","29"," 5","44","30","69","41","52","52","35","10","54","77"
"PHKA1P1"," 6","15","21"," 7"," 9","16","14","29","12","12","13","15","13","12","10","10"," 8","15","16"
"COL24A1"," 0"," 0"," 1"," 2"," 6"," 2"," 0"," 4"," 1"," 3"," 4"," 4"," 2"," 4"," 1"," 0","12"," 1","11"
"GPX7","29","13","24","23","29","27","18","39","12","28","19"," 8","25","12","11","36","29","17","41"
"SLC44A3","10","20","11","11","17","12"," 7","15"," 6","13","33","10","10"," 7","14"," 8"," 9","13"," 7"
"LINC01362","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NSRP1P1","3","4","5","6","5","2","3","4","3","2","4","4","1","2","3","2","2","6","2"
"PKN2","69","62","54","59","64","54","45","90","54","50","41","37","61","37","49","75","52","53","59"
"DAB1-AS1","0","1","0","0","1","0","0","1","0","0","0","8","1","2","0","1","0","1","1"
"MTCO1P21","0","0","2","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0"
"GBP1P1","35"," 5"," 1"," 4"," 7"," 3"," 2"," 1"," 3"," 7","13"," 2","12"," 1"," 5"," 2"," 1","19"," 3"
"LINC01364"," 4"," 2"," 8"," 4"," 5"," 1"," 6","10"," 4"," 2"," 1"," 3"," 4"," 8"," 2"," 5"," 1"," 7"," 4"
"ABCD3"," 71"," 38"," 67"," 59"," 49"," 58"," 44","114"," 43"," 44"," 44"," 34"," 46"," 43"," 48"," 73"," 72"," 45","185"
"ALG14","6","5","6","6","5","5","3","6","2","5","6","6","2","5","5","5","5","8","4"
"ZZZ3","37","31","30","35","38","31","26","54","35","32","22","34","25","38","32","50","22","28","44"
"YIPF1","32","39","36","38","50","40","31","51","25","64","49","23","34","25","26","60","46","32","45"
"KATNBL1P2","3","3","3","4","2","0","1","0","1","1","2","0","1","0","0","1","0","1","0"
"GJB4","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0"
"TMEM125"," 1"," 1"," 0"," 1"," 3"," 2"," 3"," 0"," 0","20"," 1"," 3"," 1","15","34","11"," 0"," 6"," 1"
"DMRTA2","30"," 5","30"," 4"," 2","19","22","31","22"," 1","18"," 0","13"," 1"," 2"," 1","15","24","19"
"HIVEP3"," 7"," 7","14","11","10","11","19"," 3"," 4"," 8","10","10"," 7"," 9"," 9"," 6","12","12"," 5"
"TM2D1","22","25","21","16","24","22","17","28","22","19","18","19","15","15","15","18","17","15","25"
"HMGB1P45","0","0","6","0","0","0","1","3","2","0","0","0","0","0","0","0","0","3","0"
"SCP2","45","38","43","41","51","49","35","73","36","57","48","26","56","29","27","54","45","36","70"
"FAF1-AS1"," 9"," 8","16"," 6","11"," 6"," 7","10"," 8"," 8"," 4"," 7"," 6"," 5"," 8","11"," 5","14"," 7"
"BCAR3"," 6","12","16"," 3"," 8"," 4"," 5"," 9"," 9"," 3"," 5"," 7"," 6"," 9"," 6"," 3"," 4"," 6","19"
"TBCAP2","16","19","23","31","42"," 1","10"," 2"," 2"," 7"," 7","21"," 5","11","24","20"," 0","10"," 2"
"DMAP1","16","23","17","19","27","16","19","27","22","14","17","18","14","23","22","22","11","25","19"
"AHCYL1"," 97","225","174","100","229","145","221","230","180","113","249","219","426","215","157","115"," 90","159","273"
"CNN3"," 994"," 562"," 547"," 711"," 833"," 921"," 909"," 763"," 948"," 524"," 966"," 237"," 398"," 200"," 521"," 551"," 736"," 680","1195"
"VAV3","20","17","39","17","12","13","18","28"," 4","18","27","15","10","12"," 5"," 4"," 8","12","60"
"HNRNPA1P6","1","0","0","0","1","0","0","1","0","0","0","7","1","2","0","0","0","1","1"
"EEF1A1P11"," 2"," 6"," 4"," 4"," 4"," 3"," 1"," 3","10"," 3"," 2"," 1"," 3"," 6"," 4"," 3"," 3"," 3"," 3"
"LINC01361","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0"
"RPS20P5"," 1"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14"," 3"," 2"," 0"," 2"," 0"," 6"," 1"
"HSPE1P25"," 3"," 5"," 3"," 7"," 3"," 0"," 2"," 0"," 5"," 2"," 0"," 1"," 2","10"," 4"," 1"," 1"," 3"," 2"
"DPYD"," 50","118"," 18"," 53"," 75","128"," 16"," 16"," 36","130"," 80"," 23"," 54"," 29"," 46"," 47","110"," 41"," 14"
"TLCD4"," 6","12"," 3"," 4"," 4"," 8"," 4","13"," 7"," 8","11","54"," 5","15","11"," 6"," 5","10"," 5"
"H3P2","0","1","0","1","0","0","1","0","0","0","0","1","1","2","1","1","2","0","0"
"POU3F1","0","1","1","1","1","1","3","0","1","1","1","2","1","1","1","1","0","1","0"
"LRRC8D","35","27","25","34","32","26","27","48","11","56","25","28","33","32","68","54","25","37","47"
"S1PR1"," 22"," 65"," 16"," 15"," 33"," 30"," 27","125"," 15"," 23"," 60"," 48"," 50"," 44"," 34"," 22"," 15"," 25"," 60"
"NFU1P2","6","7","0","9","1","5","3","0","0","5","2","0","2","4","4","6","5","7","0"
"ELAPOR1"," 2"," 1"," 1"," 4"," 2"," 1"," 2"," 1"," 0"," 2"," 2","19"," 1"," 9"," 3"," 3"," 2"," 6"," 2"
"ARHGAP29","18","34","22","17","28","18","25"," 9","15","16","14","15","13"," 8"," 6","12","10","12","20"
"PGM1"," 33"," 32"," 47"," 40"," 64"," 55"," 34"," 64"," 51"," 42"," 48"," 37"," 54"," 37"," 40","122"," 42"," 34"," 52"
"IGSF21"," 3"," 8"," 3","12","23"," 7","22"," 8"," 2"," 5","21","24","19","25","13","10","12","27"," 4"
"COA7","22","15","22","22","23","23","27","26","16","21","21","22","23","28","16","28","18","24","43"
"RNPC3-DT","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","1","0","1","0"
"DPYD-IT1","3","8","1","5","8","7","0","2","1","7","8","4","1","2","6","1","4","6","0"
"GYG1P3","0","1","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","0"
"OLFML3"," 40"," 41"," 45"," 65"," 81","103"," 39"," 54","  5"," 93"," 83"," 15"," 35"," 18"," 64"," 49"," 40"," 43"," 43"
"GCLM","19","53","24","21","26","34","13","35","11","29","21","29","29","12","19","27","44","18","25"
"TGFBR3","12","18","17"," 7","18"," 5"," 3","36","25"," 9"," 4","20"," 9","12","13"," 8"," 2","11"," 8"
"VAV3-AS1","0","2","4","2","0","1","1","1","0","1","3","0","0","2","0","0","1","0","2"
"RPL21P23"," 6","15"," 5"," 4"," 4"," 2"," 6"," 7"," 7"," 7"," 5"," 3"," 5"," 8"," 6"," 4"," 4","10"," 5"
"ALG14-AS1","1","1","1","0","2","0","0","0","0","0","1","2","0","1","1","0","1","1","1"
"MTND3P21","0","0","2","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0"
"ELAVL4-AS1","0","0","0","1","0","0","1","3","0","0","0","1","1","3","1","0","0","1","0"
"SZT2","10","16","11","12","18"," 7","14","16"," 9","12","10","10"," 9","15","16","13"," 8","12"," 8"
"PHTF1","19","18","25","23","19","15","13","29"," 8","19","14","27","17","19","13","19","11","16","14"
"GSTM5"," 1"," 7"," 0"," 1"," 1"," 1"," 0","17"," 1"," 1"," 0"," 8"," 6"," 4"," 1"," 0"," 3"," 3"," 1"
"GSTM2"," 7","11"," 8"," 9","11"," 6"," 9","15"," 7"," 6"," 7"," 7"," 8"," 8"," 7"," 5"," 4"," 9"," 7"
"RRAS2P1","0","0","1","1","1","2","1","1","1","1","0","2","0","1","1","1","0","1","1"
"RPSAP19"," 8"," 5"," 9"," 6","10","11","11","12","25","20"," 4"," 8"," 9","11"," 9","25","10"," 6","16"
"BCAS2P2","5","6","5","7","4","4","3","7","5","5","3","5","7","5","3","4","2","4","4"
"F3","204","217","215","181","153","505","286","266","204","145","473","140","181"," 77","201","109","248","207","590"
"FTH1P22","0","0","0","1","0","0","0","2","0","1","1","0","1","0","1","0","0","0","0"
"WARS2-IT1"," 4"," 6"," 6"," 4"," 8"," 3"," 1","10"," 2"," 2"," 3"," 1"," 4"," 4"," 2"," 5"," 2"," 2"," 1"
"DNAJA1P5","1","0","0","0","1","0","0","0","0","0","0","9","0","3","0","0","0","1","0"
"VCAM1","101"," 17"," 15"," 49"," 76"," 14","182"," 52"," 17"," 47"," 20","  5"," 66","  8"," 23","  8"," 33"," 28"," 18"
"HSP90B3P","1","1","4","1","1","3","2","2","2","3","3","1","2","2","1","2","3","1","2"
"HSD3BP2","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0"
"SEC63P1"," 3"," 9"," 5"," 4"," 6"," 4"," 2"," 3"," 4","10"," 2"," 3"," 3"," 4"," 6"," 4"," 4"," 3"," 3"
"CYP4A27P","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"GPR88"," 3"," 0"," 5"," 1"," 7"," 2"," 0"," 3"," 0"," 6"," 0","14"," 4"," 7"," 3"," 1"," 0"," 5"," 2"
"RWDD3"," 9","12","10","10"," 6"," 5"," 8"," 9"," 5"," 8"," 6"," 4"," 3","10"," 7"," 9"," 6"," 7"," 5"
"MAN1A2"," 65"," 50"," 64"," 63"," 72"," 67"," 55","109"," 50"," 68"," 44","115"," 63"," 79"," 56","115"," 68"," 69"," 87"
"LRIG2-DT","6","5","3","5","9","3","3","4","2","3","3","4","3","6","5","4","2","6","2"
"LPAR3","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","1","0"
"LINC02868","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","8","0","0"
"DPYD-AS1"," 8","16"," 4"," 7"," 8"," 6"," 1"," 1"," 1"," 9"," 5"," 3"," 5"," 4"," 8"," 3"," 5"," 6"," 1"
"CTTNBP2NL","31","26","20","52","37","43","38","26","28","41","40","22","41","23","30","38","35","32","28"
"RBMX2P3","2","2","4","2","3","1","0","2","0","1","2","0","1","1","1","0","1","1","1"
"STRIP1","24","17","20","27","28","19","27","32","20","20","19","23","25","29","23","27","22","30","24"
"TPI1P1"," 38"," 14"," 77"," 53"," 59","104"," 99"," 27"," 79"," 42"," 72"," 62"," 69"," 32"," 69"," 64","109"," 36","112"
"SLC25A24","11","17","15","15","16","18","13","16","14","31","15"," 7"," 6"," 7","10","25","12","11"," 8"
"PIFO","21","14","17","14","10","10"," 9","94","14","13","18"," 5","15"," 4","12","11"," 7"," 5"," 6"
"TSPAN2"," 1"," 6"," 1"," 0","11"," 5"," 0"," 2"," 7"," 8"," 1","11"," 2"," 2"," 3"," 2"," 1"," 2"," 1"
"GAPDHP23","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","1","0"
"LINC01776","5","4","0","8","1","3","1","1","0","2","2","0","0","3","6","4","8","2","0"
"RPL26P9","1","5","1","5","4","2","1","0","2","9","0","1","3","3","5","6","5","3","0"
"LRIG2","21","18","21","18","19","16","22","23","18","15","15","14","15","21","21","21","13","18","17"
"SLC35A3"," 9"," 8","11"," 8"," 8"," 8"," 7","13"," 7"," 8"," 5"," 6"," 5"," 8"," 7","10"," 8"," 8"," 8"
"AGL","33","35","40","36","32","33","32","67","17","28","27","34","19","28","31","30","22","25","74"
"SLC6A17"," 6"," 0"," 1"," 1"," 1"," 0"," 5"," 0"," 0"," 1"," 1","89"," 4","41"," 3"," 1"," 0","29"," 2"
"CD101-AS1","1","1","2","0","1","1","1","2","0","1","1","1","1","3","1","1","0","1","1"
"HSD3B2","0","0","0","0","0","0","0","1","0","0","0","3","0","1","0","0","0","1","0"
"CHIAP3","1","1","0","1","1","0","0","0","2","0","1","0","1","1","1","0","0","0","0"
"COL11A1","  2"," 22","  9"," 84"," 43"," 15","  5"," 22","  7"," 19"," 12"," 12","  8"," 16"," 21","163"," 12"," 10"," 10"
"RPS3AP12","5","6","4","3","4","2","2","4","2","1","3","1","2","2","2","3","1","1","0"
"RNPC3","19","29","23","22","20","12","19","26","21","15","12","29"," 7","26","17","23","10","19","14"
"SNX7","48","46","45","52","38","50","23","79","27","55","46","20","39","27","27","51","34","33","61"
"LINC01709","1","1","0","0","0","1","0","1","1","1","0","3","1","1","1","1","1","1","1"
"SLC30A7","33","33","29","35","29","38","29","31","31","44","30","15","20","15","23","37","35","28","39"
"GSTM1","10"," 0"," 0"," 0","10","11"," 0"," 0"," 4","11"," 0"," 6"," 0"," 0"," 0"," 0"," 9"," 0","18"
"SEC22B","18","18","17","18","24","21","20","23","22","26","23","18","19","14","20","25","21","19","24"
"CYP4A44P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PTGFRN"," 73"," 86","109"," 77","105","121"," 45","127"," 26"," 37"," 80"," 31","100"," 89"," 64"," 53","135","107","198"
"HSD3BP1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"BCAS2"," 85"," 55"," 75"," 89"," 75","108"," 78","104","121"," 83"," 78"," 87"," 94"," 48"," 77","118"," 81"," 73","116"
"ZNF326","28","22","25","19","21","15","20","27","27","16","16","20","17","20","19","24","14","24","22"
"TRIM45"," 5"," 8","11"," 7"," 9"," 4"," 7","11"," 2"," 6"," 2"," 5"," 6"," 8"," 7","11"," 5"," 7","10"
"RPS26P15","1","2","0","0","0","0","0","1","0","0","0","3","0","1","1","2","0","0","1"
"SEPTIN2P1","12","11","18","19","11","15","21"," 8"," 6","12","21"," 7","20","25","15","19","12"," 9","27"
"DPYD-AS2","12","11"," 5","13","10"," 9"," 3"," 2"," 4","21"," 6"," 5"," 8"," 3"," 8"," 5","10"," 8"," 1"
"VANGL1"," 3"," 6"," 7"," 5"," 9"," 8"," 3","39"," 1","10"," 6"," 3"," 6"," 8"," 5"," 8"," 2"," 9"," 2"
"LINC02788","3","2","1","3","2","2","3","3","2","2","2","3","2","2","1","1","1","1","1"
"VPS25P1","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
"LINC01780","0","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0","1","0"
"TENT5C"," 3"," 5"," 2","11"," 4"," 6"," 5"," 1"," 9"," 4"," 4"," 1"," 3"," 4"," 2","12"," 6"," 3"," 2"
"RPL7AP15","1","2","2","0","3","0","0","3","1","1","3","2","2","3","1","2","0","1","1"
"LINC01731","2","2","1","0","1","2","3","2","1","0","1","7","1","2","0","1","0","2","4"
"GAPDHP74"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","10"," 0"," 1"," 0"," 0"," 0"," 1"," 0"
"MTND5P20","0","0","0","4","4","0","1","4","0","0","0","1","2","1","0","0","0","1","0"
"PIP5K1A","40","34","68","40","35","39","48","40","54","36","33","32","34","33","32","42","54","40","50"
"GDAP2","19","21","25","26","25","22","23","29","31","27","15","23","22","22","20","28","21","23","18"
"HYDIN2"," 2"," 5"," 3"," 5"," 7"," 1"," 1"," 7"," 2"," 2"," 3","13"," 3"," 7"," 7"," 6"," 1"," 4"," 2"
"SOD2P1","0","0","0","2","2","0","0","1","0","1","0","1","0","1","0","5","0","0","0"
"WDR3","18","13","16","17","23","21","19","31","20","15","16","11","17","14","15","28","25","16","31"
"LINC02798","14"," 5"," 7"," 7","11"," 6"," 4"," 8"," 1"," 3"," 3"," 5","10"," 6"," 7"," 9"," 5","13"," 5"
"SLC22A15"," 2","13","12"," 6"," 4"," 6"," 4","16"," 3","18"," 7","25","10","19","20"," 8"," 5"," 6"," 1"
"SCNM1","16","11","27","17","19","19","17","20","26","18","14","11","22","14","17","23","20","18","29"
"FLG","3","2","0","0","0","2","7","0","2","1","0","1","0","2","2","0","0","1","2"
"NHLH2","0","0","0","0","1","0","0","2","0","1","1","1","6","2","1","2","0","0","0"
"TRIM33","54","37","45","47","46","36","37","75","36","38","29","58","49","50","44","62","37","50","59"
"FLG-AS1","4","2","0","0","0","2","3","0","3","1","0","1","0","1","1","0","0","0","2"
"CDC14A","8","7","7","5","7","4","3","9","6","6","3","5","4","7","5","6","5","5","7"
"CD53"," 49","127"," 47","139","136","108"," 43"," 36"," 31","237","127"," 43","127"," 28","124","113","177"," 38"," 25"
"MTIF2P1","0","1","1","1","1","1","1","1","0","1","1","1","0","0","1","0","0","1","2"
"FLG2","1","2","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0"
"SRGAP2C","17"," 9","13"," 9","16","15"," 9","16"," 7","13","12","11","13","10","13","16","16","13","32"
"SPAG17","0","1","6","3","1","0","1","7","0","3","2","2","3","1","1","1","1","1","0"
"SRGAP2-AS1","2","1","0","1","2","1","0","0","0","1","0","1","1","1","1","1","0","1","0"
"TTF2"," 8","11","14","12","18","10"," 9","12"," 6","16","10"," 4"," 9","12","11","20"," 7","10"," 9"
"RPL6P2","3","5","2","2","7","1","2","7","3","3","4","3","1","5","2","4","0","2","2"
"GATAD2B","32","24","42","32","34","21","30","42","30","20","21","34","29","54","33","31","24","43","33"
"SLC6A17-AS1","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","0","0","1","0"
"NPR1"," 1"," 3"," 4"," 3"," 4"," 4"," 4"," 1"," 3"," 1"," 1"," 2"," 2"," 2"," 0"," 3"," 3"," 3","55"
"MAGI3","13","14","20","14","26","22","14","48","11"," 9","15","34","32","31","17","22"," 8","23","18"
"EIF2S2P5","3","2","3","5","4","2","4","2","4","2","1","6","3","3","1","3","1","3","2"
"KCNC4-DT","1","1","0","0","0","1","1","0","0","0","1","2","0","2","0","1","0","0","2"
"LINC01649","0","0","0","0","0","0","0","3","0","1","0","2","3","0","0","0","0","1","0"
"UBL4B","0","1","1","0","0","0","2","0","2","0","0","1","1","0","1","1","1","1","1"
"SLC27A3"," 9"," 6","13","11"," 9","10","18","12"," 5","11","17","13"," 7"," 7"," 6"," 6"," 8","13","32"
"GABPB2"," 6"," 9","14"," 6"," 9"," 6"," 4"," 9"," 3","10"," 8"," 8"," 4","11","10","10"," 6"," 7"," 5"
"CD5L","0","0","0","1","1","0","1","0","0","0","2","0","1","0","4","2","0","0","0"
"FMO5"," 4"," 6"," 7"," 3","13"," 3"," 2","13"," 5"," 9"," 6"," 9"," 7"," 9"," 7"," 9"," 4"," 5"," 4"
"HAO2-IT1","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0"
"RPS29P29","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"PDE4DIPP6","30","26","20","19","31","14","16","15","12","18","20","12"," 8","11","15","20","11","21","13"
"ELL2P1","1","2","1","2","3","3","1","2","2","3","2","1","1","1","1","2","2","1","2"
"LYSMD1","14","10","25","12","19","11","16","29","18","13","12","14","16","17","20","22","16","18","23"
"ELOCP19","21","34"," 9","20","21","15","13"," 8","20","10"," 5","11","10","16","15","21","16","15"," 8"
"PNRC2P1"," 4"," 3"," 3"," 6"," 3"," 4"," 4","13"," 5"," 6","11"," 5"," 9"," 5"," 9","10"," 4"," 4"," 5"
"NUP210L","1","3","2","1","2","0","1","1","1","3","1","1","0","1","1","2","0","1","0"
"DENND2C","4","4","1","2","3","1","2","2","1","2","3","3","2","2","1","1","2","2","1"
"CD2"," 9"," 3"," 1"," 2"," 3"," 1"," 0"," 2"," 0","17"," 7"," 1"," 4"," 0"," 5"," 4"," 4"," 1"," 1"
"DEPDC1","11"," 1","11"," 4"," 7"," 6"," 3"," 7"," 1"," 6"," 1"," 1"," 6"," 6"," 4","15"," 6"," 6","20"
"PKMP1","0","1","0","1","0","1","1","0","2","1","2","1","0","1","1","1","1","1","1"
"NDUFA5P10","0","1","0","3","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0"
"GPR89A","6","6","7","3","6","6","4","9","5","4","3","3","6","5","5","6","5","5","9"
"INTS3","31","44","49","40","35","30","52","48","44","33","42","33","29","37","36","38","34","45","44"
"GTF2B","34","23","28","31","30","31","26","41","41","41","31","28","33","18","26","43","40","29","40"
"MTCO2P21","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0"
"TNFSF4"," 3"," 9"," 5"," 5"," 3"," 5"," 3","11"," 2"," 5"," 8"," 4"," 5"," 3"," 5"," 3","32"," 4","11"
"HNRNPA1P68","3","3","3","4","4","4","3","2","3","3","2","4","2","6","6","5","2","4","1"
"KCNJ9"," 1"," 1"," 2","10","21"," 4"," 6"," 5"," 1"," 9"," 3","66"," 4","48","28","12"," 1","24"," 3"
"CSF1"," 25"," 51"," 31"," 53","110"," 58"," 27"," 23"," 21"," 57","100","  7"," 29"," 16"," 43"," 24"," 67"," 46"," 21"
"DHCR24-DT","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"LINC02805","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"TNFAIP8L2","12","19","13","24","25","20"," 9"," 9"," 5","30","22"," 7","16"," 6","22","24","20","12"," 5"
"RGS5","4","6","4","2","6","2","3","4","1","3","2","2","2","4","4","5","1","2","2"
"NAP1L4P1"," 5"," 9","10"," 7"," 6"," 6"," 5"," 3"," 4"," 6"," 4"," 4"," 3"," 2"," 2"," 2"," 7"," 7"," 4"
"SEC22B4P","1","3","0","1","3","1","1","0","1","1","1","3","0","2","1","0","1","0","1"
"IGSF8"," 25"," 26"," 40"," 40"," 37"," 44"," 60"," 47"," 21"," 68"," 52","103"," 48"," 82","114"," 56"," 50"," 69"," 36"
"MPC2","43","30","55","43","45","55","31","54","39","43","32","64","84","30","44","62","53","40","54"
"TLCD4-RWDD3","2","3","3","2","2","1","2","2","1","1","1","2","1","3","1","2","1","1","1"
"LINC00624","2","2","4","2","2","4","4","3","9","2","2","3","1","2","2","4","3","3","1"
"C1orf112","10"," 8","10","11","10"," 7"," 7","13"," 5"," 7"," 4"," 5"," 6"," 5"," 7","15"," 6"," 7"," 9"
"FAM78B","11","26"," 5","17"," 5","16"," 9"," 4"," 8"," 5","13"," 9"," 2"," 5"," 2"," 3","21","10"," 2"
"LAMC1","125","121","146"," 96","138","170","124","105","126","144","109"," 25"," 72"," 46"," 56","114","149","108","148"
"CD1D"," 2"," 4"," 2"," 2"," 3"," 1"," 2"," 1"," 1","10"," 2"," 0"," 3"," 0"," 1"," 2"," 2"," 0"," 0"
"MGST3","13","14","20","19","17","21","16","21","18","21","15","29","20","18","19","17","15","16","16"
"CASQ1"," 4"," 4","15"," 6"," 3"," 3"," 1","31"," 3"," 1"," 4","11","12","12"," 6"," 6"," 8","10"," 9"
"ILF2","199"," 81","175","166","172","168","173","257","133","183","132"," 83","187","133","154","312","201","165","306"
"TIPRL","61","37","74","52","52","64","56","82","69","63","35","56","64","46","44","78","60","57","88"
