ID	adj.P.Val	P.Value	t	B	logFC	Gene
A_33_P3263387	1.46E-01	2.76E-02	2.2965294	-3.93220064	1.65E-01	TTLL4
A_24_P321752	6.09E-01	3.18E-01	1.01242717	-5.88136013	1.02E-01	TTLL5
A_33_P3336437	8.46E-01	6.43E-01	0.46768375	-6.27716068	4.75E-02	TTLL5
A_24_P10444	1.31E-01	2.30E-02	2.37441618	-3.77504249	4.30E-01	TTLL6
A_33_P3410060	6.59E-01	3.74E-01	-0.90074212	-5.98538083	-1.70E-01	TTLL6
A_24_P361408	9.15E-01	7.83E-01	0.27731361	-6.34771902	5.01E-02	TTLL6
A_33_P3348164	3.80E-01	1.33E-01	-1.53606217	-5.24537086	-1.62E-01	TTLL7
A_24_P165450	9.61E-01	8.92E-01	0.13658497	-6.3767799	1.63E-02	TTLL7
A_33_P3390217	5.03E-01	2.19E-01	1.25107051	-5.62112503	1.26E-01	TTLL9
A_33_P3385993	8.62E-01	6.76E-01	0.42108318	-6.29773631	4.06E-02	TTLL9
A_33_P3390212	9.73E-01	9.25E-01	-0.09523326	-6.38156724	-9.53E-03	TTLL9
A_33_P3329428	4.93E-01	2.11E-01	-1.27326371	-5.59435584	-2.32E-01	TTN
A_33_P3329433	5.35E-01	2.46E-01	1.17843117	-5.70571981	2.59E-01	TTN
A_23_P85269	6.23E-01	3.33E-01	-0.98093707	-5.9118544	-2.77E-01	TTN
